Artist,Album,Title,Date
SUPER JUNIOR,Mr. Simple - The 5th Album,Mr. Simple,18 Oct 2021 23:12
SHINee,2009 Year Of Us - The Third Mini Album,Ring Ding Dong,18 Oct 2021 23:07
The Knocks,55,Classic (feat. Powers),18 Oct 2021 23:03
MKTO,MKTO,Classic,18 Oct 2021 23:00
Ariana Grande,thank u next,thank u next,18 Oct 2021 22:57
Billie Eilish,WHEN WE ALL FALL ASLEEP WHERE DO WE GO?,bad guy,18 Oct 2021 22:53
Taylor Swift,1989 (Deluxe Edition),I Know Places,18 Oct 2021 22:50
Taylor Swift,reputation,So It Goes...,18 Oct 2021 22:46
Dua Lipa,Future Nostalgia,Break My Heart,18 Oct 2021 22:43
Estelle,Shine,American Boy,18 Oct 2021 22:38
Nile Rodgers,It’s About Time,Dance With Me,18 Oct 2021 22:34
Mutemath,Vitals,Joy Rides,18 Oct 2021 22:30
OneRepublic,Native,Counting Stars,18 Oct 2021 22:26
Cheat Codes,Only You,Only You,18 Oct 2021 22:23
